morning,workday,evening,contact_9,contact_13,contact_11,contact_3,movement_14,movement_15,movement_6
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,None,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-68,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-54,-68,None
1,1,0,None,None,None,None,-54,-68,None
1,1,0,None,None,None,None,-54,-68,None
1,1,0,None,None,None,None,-54,-68,None
1,1,0,None,None,None,None,-54,-68,None
1,1,0,None,None,None,None,-54,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
1,1,0,None,None,None,None,-53,-67,None
